date,day_of_week,season,month,is_weekend,route,operator,vessel_type,departure_time,duration_min,status,est_passengers,est_road_vehicles_generated,corridor_impact,pier,pier_lat,pier_lon,departure_hour,timestamp
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,09:00,60,Operating,87,29,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-02 09:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,12:00,60,Operating,118,39,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,12,2022-01-02 12:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,08:30,120,Operating,247,82,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-02 08:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,13:30,120,Operating,205,68,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-02 13:00:00
2022-01-02,Sunday,High,1,1,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,09:00,60,Operating,102,34,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,9,2022-01-02 09:00:00
2022-01-02,Sunday,High,1,1,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,11:00,60,Operating,143,47,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,11,2022-01-02 11:00:00
2022-01-02,Sunday,High,1,1,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,14:00,120,Operating,241,80,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,14,2022-01-02 14:00:00
2022-01-02,Sunday,High,1,1,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,15:30,120,Operating,227,75,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,15,2022-01-02 15:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Lanta_Saladan,Bundhaya Speed Boat,Speedboat,08:00,150,Operating,111,37,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-02 08:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Lanta_Saladan,Andaman Wave Master,Speedboat,11:00,150,Operating,91,30,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-02 11:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Lanta_Saladan,Chaokoh Ferry,Ferry,14:00,360,Operating,222,74,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-02 14:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Krabi_Ao_Nang,Phi Phi Cruiser,Speedboat,09:00,120,Operating,75,25,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-02 09:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Krabi_Ao_Nang,Andaman Wave Master,Ferry,13:00,150,Operating,132,44,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-02 13:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,08:30,60,Operating,114,38,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-03 08:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,10:00,60,Operating,121,40,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,10,2022-01-03 10:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,11:30,60,Operating,144,48,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-03 11:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,13:00,60,Operating,119,39,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-03 13:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,14:30,60,Operating,117,39,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-03 14:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,09:00,60,Operating,84,28,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-03 09:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,12:00,60,Operating,95,31,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,12,2022-01-03 12:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,08:30,120,Operating,243,81,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-03 08:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,13:30,120,Operating,204,68,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-03 13:00:00
2022-01-03,Monday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,09:00,60,Operating,107,35,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,9,2022-01-03 09:00:00
2022-01-03,Monday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,11:00,60,Operating,114,38,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,11,2022-01-03 11:00:00
2022-01-03,Monday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,14:00,120,Operating,218,72,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,14,2022-01-03 14:00:00
2022-01-03,Monday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,15:30,120,Operating,216,72,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,15,2022-01-03 15:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Bundhaya Speed Boat,Speedboat,08:00,150,Operating,99,33,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-03 08:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Andaman Wave Master,Speedboat,11:00,150,Operating,87,29,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-03 11:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Chaokoh Ferry,Ferry,14:00,360,Operating,178,59,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-03 14:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Krabi_Ao_Nang,Phi Phi Cruiser,Speedboat,09:00,120,Operating,72,24,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-03 09:00:00
2022-01-03,Monday,High,1,0,Phuket_Rassada → Krabi_Ao_Nang,Andaman Wave Master,Ferry,13:00,150,Operating,147,49,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-03 13:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,08:30,60,Operating,108,36,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-04 08:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,10:00,60,Operating,120,40,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,10,2022-01-04 10:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,11:30,60,Operating,117,39,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-04 11:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,13:00,60,Operating,125,41,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-04 13:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,14:30,60,Operating,99,33,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-04 14:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,09:00,60,Operating,93,31,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-04 09:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,12:00,60,Operating,119,39,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,12,2022-01-04 12:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,08:30,120,Operating,270,90,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-04 08:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,13:30,120,Operating,237,79,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-04 13:00:00
2022-01-04,Tuesday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,09:00,60,Operating,123,41,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,9,2022-01-04 09:00:00
2022-01-04,Tuesday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,11:00,60,Operating,143,47,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,11,2022-01-04 11:00:00
2022-01-04,Tuesday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,14:00,120,Operating,253,84,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,14,2022-01-04 14:00:00
2022-01-04,Tuesday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,15:30,120,Operating,191,63,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,15,2022-01-04 15:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Bundhaya Speed Boat,Speedboat,08:00,150,Operating,89,29,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-04 08:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Andaman Wave Master,Speedboat,11:00,150,Operating,85,28,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-04 11:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Chaokoh Ferry,Ferry,14:00,360,Operating,181,60,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-04 14:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Krabi_Ao_Nang,Phi Phi Cruiser,Speedboat,09:00,120,Operating,71,23,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-04 09:00:00
2022-01-04,Tuesday,High,1,0,Phuket_Rassada → Krabi_Ao_Nang,Andaman Wave Master,Ferry,13:00,150,Operating,147,49,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-04 13:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,08:30,60,Operating,115,38,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-05 08:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,10:00,60,Operating,110,36,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,10,2022-01-05 10:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,11:30,60,Operating,136,45,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-05 11:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,13:00,60,Operating,113,37,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-05 13:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,14:30,60,Operating,124,41,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-05 14:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,09:00,60,Operating,96,32,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-05 09:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,12:00,60,Operating,96,32,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,12,2022-01-05 12:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,08:30,120,Operating,240,80,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-05 08:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,13:30,120,Operating,238,79,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-05 13:00:00
2022-01-05,Wednesday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,09:00,60,Operating,108,36,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,9,2022-01-05 09:00:00
2022-01-05,Wednesday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,11:00,60,Operating,133,44,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,11,2022-01-05 11:00:00
2022-01-05,Wednesday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,14:00,120,Operating,261,87,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,14,2022-01-05 14:00:00
2022-01-05,Wednesday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,15:30,120,Operating,201,67,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,15,2022-01-05 15:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Bundhaya Speed Boat,Speedboat,08:00,150,Operating,95,31,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-05 08:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Andaman Wave Master,Speedboat,11:00,150,Operating,104,34,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-05 11:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Chaokoh Ferry,Ferry,14:00,360,Operating,195,65,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-05 14:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Krabi_Ao_Nang,Phi Phi Cruiser,Speedboat,09:00,120,Operating,68,22,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-05 09:00:00
2022-01-05,Wednesday,High,1,0,Phuket_Rassada → Krabi_Ao_Nang,Andaman Wave Master,Ferry,13:00,150,Operating,112,37,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-05 13:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,08:30,60,Operating,91,30,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-06 08:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,10:00,60,Operating,121,40,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,10,2022-01-06 10:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,11:30,60,Operating,141,47,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-06 11:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,13:00,60,Operating,114,38,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-06 13:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,14:30,60,Operating,96,32,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-06 14:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,09:00,60,Operating,94,31,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-06 09:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,12:00,60,Operating,119,39,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,12,2022-01-06 12:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,08:30,120,Operating,262,87,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-06 08:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,13:30,120,Operating,267,89,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-06 13:00:00
2022-01-06,Thursday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,09:00,60,Operating,129,43,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,9,2022-01-06 09:00:00
2022-01-06,Thursday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,11:00,60,Operating,110,36,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,11,2022-01-06 11:00:00
2022-01-06,Thursday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,14:00,120,Operating,249,83,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,14,2022-01-06 14:00:00
2022-01-06,Thursday,High,1,0,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,15:30,120,Operating,219,73,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,15,2022-01-06 15:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Bundhaya Speed Boat,Speedboat,08:00,150,Operating,105,35,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-06 08:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Andaman Wave Master,Speedboat,11:00,150,Operating,84,28,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-06 11:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Koh_Lanta_Saladan,Chaokoh Ferry,Ferry,14:00,360,Operating,203,67,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-06 14:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Krabi_Ao_Nang,Phi Phi Cruiser,Speedboat,09:00,120,Operating,68,22,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-06 09:00:00
2022-01-06,Thursday,High,1,0,Phuket_Rassada → Krabi_Ao_Nang,Andaman Wave Master,Ferry,13:00,150,Operating,127,42,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-06 13:00:00
2022-01-07,Friday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,08:30,60,Operating,102,34,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-07 08:00:00
2022-01-07,Friday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,10:00,60,Operating,132,44,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,10,2022-01-07 10:00:00
2022-01-07,Friday,High,1,0,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,11:30,60,Operating,144,48,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-07 11:00:00
