date,event_name,type,impact,location,start_time,end_time
2023-02-26,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-02-26,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-03-04,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-03-04,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-03-05,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-03-05,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-03-11,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-03-11,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-03-12,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-03-12,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-03-18,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-03-18,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-03-19,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-03-19,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-03-25,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-03-25,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-03-26,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-03-26,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-01,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-04-01,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-02,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-04-02,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-08,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-04-08,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-09,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-04-09,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-15,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-04-15,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-16,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-04-16,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-22,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-04-22,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-23,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-04-23,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-29,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-04-29,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-04-30,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-04-30,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-05-06,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-05-06,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-05-07,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-05-07,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-05-13,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-05-13,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-05-14,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-05-14,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-05-20,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-05-20,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-05-21,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-05-21,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-05-27,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-05-27,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-05-28,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-05-28,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-06-03,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-06-03,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-06-04,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-06-04,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-06-10,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-06-10,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-06-11,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-06-11,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-06-17,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-06-17,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-06-18,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-06-18,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-06-24,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-06-24,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-06-25,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-06-25,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-01,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-07-01,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-02,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-07-02,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-08,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-07-08,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-09,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-07-09,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-15,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-07-15,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-16,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-07-16,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-22,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-07-22,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-23,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-07-23,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-29,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-07-29,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-07-30,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-07-30,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-08-05,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-08-05,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-08-06,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-08-06,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-08-12,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-08-12,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-08-13,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-08-13,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-08-19,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-08-19,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-08-20,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-08-20,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-08-26,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-08-26,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-08-27,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-08-27,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-02,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-09-02,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-03,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-09-03,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-09,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-09-09,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-10,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-09-10,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-16,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-09-16,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-17,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-09-17,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-23,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-09-23,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-24,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-09-24,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-09-30,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-09-30,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-01,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-10-01,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-07,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-10-07,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-08,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-10-08,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-14,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-10-14,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-15,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-10-15,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-21,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-10-21,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-22,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-10-22,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-28,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-10-28,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-10-29,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-10-29,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-11-04,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-11-04,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-11-05,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-11-05,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-11-11,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-11-11,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-11-12,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-11-12,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-11-18,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-11-18,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-11-19,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-11-19,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-11-25,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-11-25,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-11-26,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-11-26,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-02,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-12-02,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-03,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-12-03,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-09,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-12-09,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-10,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-12-10,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-16,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-12-16,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-17,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-12-17,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-23,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-12-23,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-24,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-12-24,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-30,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-12-30,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-12-31,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-12-31,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-01-06,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-01-06,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-01-07,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-01-07,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-01-13,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-01-13,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-01-14,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-01-14,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-01-20,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-01-20,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-01-21,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-01-21,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-01-27,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-01-27,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-01-28,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-01-28,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-02-03,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-02-03,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-02-04,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-02-04,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-02-10,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-02-10,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-02-11,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-02-11,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-02-17,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-02-17,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-02-18,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-02-18,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-02-24,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-02-24,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-02-25,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-02-25,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-02,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-03-02,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-03,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-03-03,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-09,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-03-09,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-10,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-03-10,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-16,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-03-16,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-17,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-03-17,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-23,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-03-23,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-24,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-03-24,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-30,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-03-30,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-03-31,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-03-31,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-04-06,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-04-06,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-04-07,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-04-07,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-04-13,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-04-13,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-04-14,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-04-14,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-04-20,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-04-20,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-04-21,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-04-21,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-04-27,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-04-27,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-04-28,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-04-28,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-05-04,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-05-04,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-05-05,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-05-05,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-05-11,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-05-11,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-05-12,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-05-12,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-05-18,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-05-18,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-05-19,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-05-19,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-05-25,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-05-25,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-05-26,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-05-26,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-01,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-06-01,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-02,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-06-02,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-08,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-06-08,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-09,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-06-09,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-15,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-06-15,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-16,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-06-16,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-22,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-06-22,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-23,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-06-23,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-29,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-06-29,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-06-30,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-06-30,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-07-06,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-07-06,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-07-07,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-07-07,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-07-13,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-07-13,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-07-14,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-07-14,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-07-20,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-07-20,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-07-21,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-07-21,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-07-27,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2024-07-27,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2024-07-28,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2024-07-28,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
