date,event_name,type,impact,affected_area
2024-05-01,Labor Day,National Holiday,Medium,All
2024-05-04,Coronation Day,National Holiday,Medium,All
2024-05-06,Day off for Coronation Day,National Holiday,Medium,All
2024-05-10,Royal Ploughing Ceremony Day,National Holiday,Medium,All
2024-05-22,Visakha Bucha,National Holiday,Medium,All
2024-06-03,Queen Suthida's Birthday,National Holiday,Medium,All
2024-06-20,June Solstice,National Holiday,Medium,All
2024-07-20,Asalha Bucha,National Holiday,Medium,All
2024-07-22,Day off for Asalha Bucha,National Holiday,Medium,All
2024-07-28,King Vajiralongkorn's Birthday,National Holiday,Medium,All
2024-07-29,Day off for King Vajiralongkorn's Birthday,National Holiday,Medium,All
2024-08-12,The Queen's Birthday,National Holiday,Medium,All
2024-09-22,September Equinox,National Holiday,Medium,All
2024-10-02,Phuket Vegetarian Festival (Start),Local Festival,High,Phuket Town
2024-10-11,Phuket Vegetarian Festival (End),Local Festival,High,Phuket Town
2024-10-13,Anniversary of the Death of King Bhumibol,National Holiday,Medium,All
2024-10-14,Day off for Anniversary of the Death of King Bhumibol,National Holiday,Medium,All
2024-10-23,Chulalongkorn Day,National Holiday,Medium,All
2024-10-31,Halloween,National Holiday,Medium,All
2024-11-15,Loy Krathong,Cultural,Medium,Near Water/Piers
2024-12-05,King Bhumibol's Birthday/Father's Day,National Holiday,Medium,All
2024-12-10,Constitution Day,National Holiday,Medium,All
2024-12-21,December Solstice,National Holiday,Medium,All
2024-12-24,Christmas Eve,National Holiday,Medium,All
2024-12-25,Christmas Day,National Holiday,Medium,All
2024-12-30,New Year Special Holiday,National Holiday,Medium,All
2024-12-31,New Year's Eve,National Holiday,Medium,All
2024-12-31,New Year Eve (Countdown),Global Event,High,Patong_Beach
